#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  52100      1.15e+00    1.10e+00      1.49e-02    7.72e-03      4.68e-02    4.48e-02    6.0e-04
  52200      1.16e+00    1.09e+00      3.15e-02    2.93e-02      4.67e-02    4.39e-02    6.0e-04
  52300      1.15e+00    1.17e+00      2.22e-02    2.34e-02      4.65e-02    4.75e-02    6.0e-04
  52400      1.21e+00    9.91e-01      1.25e-02    3.39e-03      4.92e-02    4.05e-02    6.0e-04
  52500      1.13e+00    1.11e+00      1.47e-02    7.86e-03      4.59e-02    4.53e-02    6.0e-04
  52600      1.16e+00    1.10e+00      7.56e-03    1.34e-03      4.75e-02    4.50e-02    6.0e-04
  52700      1.21e+00    1.12e+00      1.13e-02    4.34e-03      4.93e-02    4.59e-02    6.0e-04
  52800      1.18e+00    1.17e+00      2.36e-02    1.36e-02      4.78e-02    4.76e-02    6.0e-04
  52900      1.31e+00    1.43e+00      1.61e-02    8.91e-03      5.33e-02    5.85e-02    6.0e-04
  53000      1.12e+00    1.13e+00      1.70e-02    2.03e-02      4.56e-02    4.58e-02    6.0e-04
  53100      1.21e+00    1.51e+00      1.21e-02    2.45e-03      4.95e-02    6.15e-02    6.0e-04
  53200      1.17e+00    1.13e+00      2.40e-02    3.22e-02      4.73e-02    4.54e-02    6.0e-04
  53300      1.19e+00    1.15e+00      1.39e-02    1.69e-02      4.83e-02    4.66e-02    6.0e-04
  53400      1.17e+00    1.10e+00      9.61e-03    6.08e-03      4.75e-02    4.48e-02    6.0e-04
  53500      1.20e+00    1.45e+00      3.41e-02    4.00e-02      4.80e-02    5.83e-02    6.0e-04
  53600      1.16e+00    1.07e+00      9.24e-03    7.81e-03      4.73e-02    4.35e-02    6.0e-04
  53700      1.19e+00    1.20e+00      1.06e-02    9.68e-03      4.84e-02    4.89e-02    6.0e-04
  53800      1.28e+00    1.23e+00      1.03e-02    1.06e-02      5.21e-02    5.01e-02    6.0e-04
  53900      1.18e+00    1.45e+00      1.40e-02    7.51e-03      4.82e-02    5.92e-02    6.0e-04
  54000      1.18e+00    1.11e+00      3.07e-02    1.99e-02      4.74e-02    4.51e-02    6.0e-04
  54100      1.19e+00    1.12e+00      1.53e-02    1.13e-02      4.84e-02    4.58e-02    6.0e-04
  54200      1.31e+00    1.26e+00      6.81e-03    2.39e-03      5.34e-02    5.15e-02    6.0e-04
  54300      1.22e+00    1.09e+00      6.78e-03    8.22e-03      4.97e-02    4.45e-02    6.0e-04
  54400      1.20e+00    1.20e+00      1.56e-02    1.10e-02      4.87e-02    4.88e-02    6.0e-04
  54500      1.17e+00    1.19e+00      2.21e-02    2.13e-02      4.73e-02    4.83e-02    6.0e-04
  54600      1.16e+00    1.09e+00      2.35e-02    1.61e-02      4.70e-02    4.45e-02    6.0e-04
  54700      1.26e+00    1.09e+00      8.72e-03    5.12e-03      5.13e-02    4.45e-02    6.0e-04
  54800      1.31e+00    1.24e+00      5.85e-02    6.48e-02      5.13e-02    4.79e-02    6.0e-04
  54900      1.12e+00    1.27e+00      1.05e-02    3.95e-03      4.57e-02    5.20e-02    6.0e-04
  55000      1.13e+00    1.04e+00      9.73e-03    5.67e-03      4.71e-02    4.36e-02    5.7e-04
  55100      1.23e+00    1.20e+00      2.92e-02    2.46e-02      5.08e-02    5.00e-02    5.7e-04
  55200      1.09e+00    1.25e+00      1.74e-02    1.41e-02      4.53e-02    5.23e-02    5.7e-04
  55300      1.36e+00    1.29e+00      1.94e-02    7.67e-03      5.65e-02    5.41e-02    5.7e-04
  55400      1.14e+00    1.01e+00      1.47e-02    1.20e-02      4.75e-02    4.23e-02    5.7e-04
  55500      1.15e+00    1.13e+00      6.76e-03    8.53e-03      4.80e-02    4.73e-02    5.7e-04
  55600      1.19e+00    1.08e+00      2.49e-02    2.68e-02      4.95e-02    4.48e-02    5.7e-04
  55700      1.26e+00    1.18e+00      1.36e-02    3.83e-03      5.26e-02    4.94e-02    5.7e-04
  55800      1.30e+00    1.39e+00      1.41e-02    1.04e-02      5.41e-02    5.83e-02    5.7e-04
  55900      1.32e+00    1.29e+00      1.91e-02    8.77e-03      5.48e-02    5.42e-02    5.7e-04
  56000      1.15e+00    1.19e+00      1.00e-02    1.29e-02      4.82e-02    4.98e-02    5.7e-04
  56100      1.17e+00    1.35e+00      1.40e-02    1.51e-02      4.87e-02    5.65e-02    5.7e-04
  56200      1.09e+00    1.22e+00      2.60e-02    3.10e-02      4.52e-02    5.03e-02    5.7e-04
  56300      1.12e+00    1.08e+00      9.40e-03    8.32e-03      4.69e-02    4.54e-02    5.7e-04
  56400      1.10e+00    9.76e-01      1.21e-02    1.81e-03      4.59e-02    4.09e-02    5.7e-04
  56500      1.33e+00    1.22e+00      2.32e-02    2.85e-02      5.54e-02    5.06e-02    5.7e-04
  56600      1.12e+00    1.23e+00      1.40e-02    2.02e-03      4.67e-02    5.15e-02    5.7e-04
  56700      1.09e+00    1.03e+00      8.12e-03    1.66e-02      4.54e-02    4.27e-02    5.7e-04
  56800      1.16e+00    1.24e+00      1.19e-02    1.80e-02      4.83e-02    5.19e-02    5.7e-04
  56900      1.32e+00    1.33e+00      1.80e-02    1.04e-03      5.49e-02    5.57e-02    5.7e-04
  57000      1.23e+00    1.11e+00      9.27e-03    1.65e-02      5.13e-02    4.62e-02    5.7e-04
  57100      1.35e+00    1.30e+00      1.45e-02    9.54e-03      5.64e-02    5.45e-02    5.7e-04
  57200      1.13e+00    1.26e+00      9.29e-03    8.19e-03      4.73e-02    5.26e-02    5.7e-04
  57300      1.13e+00    1.19e+00      1.96e-02    2.93e-02      4.71e-02    4.91e-02    5.7e-04
  57400      1.33e+00    1.31e+00      7.56e-03    6.32e-03      5.55e-02    5.48e-02    5.7e-04
  57500      1.10e+00    1.19e+00      1.58e-02    1.39e-02      4.56e-02    4.99e-02    5.7e-04
  57600      1.17e+00    1.14e+00      8.40e-03    2.54e-03      4.91e-02    4.76e-02    5.7e-04
  57700      1.13e+00    1.18e+00      2.65e-02    2.25e-02      4.65e-02    4.89e-02    5.7e-04
  57800      1.17e+00    1.13e+00      3.55e-02    3.32e-02      4.80e-02    4.65e-02    5.7e-04
  57900      1.12e+00    1.09e+00      1.22e-02    7.82e-03      4.67e-02    4.57e-02    5.7e-04
  58000      1.15e+00    1.13e+00      2.18e-02    1.40e-02      4.79e-02    4.74e-02    5.7e-04
  58100      1.11e+00    1.06e+00      6.66e-03    4.60e-03      4.64e-02    4.44e-02    5.7e-04
  58200      1.20e+00    1.02e+00      2.82e-02    1.09e-02      4.96e-02    4.27e-02    5.7e-04
  58300      1.21e+00    1.13e+00      7.07e-03    1.65e-03      5.06e-02    4.74e-02    5.7e-04
  58400      1.09e+00    1.19e+00      9.11e-03    1.11e-02      4.57e-02    4.99e-02    5.7e-04
  58500      1.19e+00    1.18e+00      3.52e-02    2.51e-02      4.88e-02    4.89e-02    5.7e-04
  58600      1.18e+00    1.14e+00      9.74e-03    1.70e-02      4.95e-02    4.77e-02    5.7e-04
  58700      1.15e+00    1.19e+00      2.01e-02    2.05e-02      4.77e-02    4.95e-02    5.7e-04
  58800      1.66e+00    1.67e+00      7.69e-02    7.06e-02      6.62e-02    6.73e-02    5.7e-04
  58900      1.17e+00    1.12e+00      2.35e-02    9.94e-03      4.85e-02    4.70e-02    5.7e-04
  59000      1.18e+00    1.05e+00      5.43e-02    6.04e-02      4.73e-02    4.06e-02    5.7e-04
  59100      1.12e+00    1.04e+00      1.36e-02    1.12e-02      4.69e-02    4.33e-02    5.7e-04
  59200      1.25e+00    1.25e+00      1.10e-02    1.70e-02      5.23e-02    5.24e-02    5.7e-04
  59300      1.17e+00    1.11e+00      6.84e-03    1.21e-02      4.89e-02    4.62e-02    5.7e-04
  59400      1.10e+00    9.82e-01      1.34e-02    1.15e-02      4.59e-02    4.10e-02    5.7e-04
  59500      1.10e+00    1.05e+00      2.02e-02    7.24e-03      4.56e-02    4.39e-02    5.7e-04
  59600      1.12e+00    1.00e+00      6.83e-03    4.18e-03      4.68e-02    4.21e-02    5.7e-04
  59700      1.09e+00    1.11e+00      9.13e-03    1.25e-02      4.57e-02    4.66e-02    5.7e-04
  59800      1.14e+00    1.16e+00      1.07e-02    1.97e-02      4.78e-02    4.82e-02    5.7e-04
  59900      1.13e+00    1.16e+00      8.69e-03    1.11e-02      4.72e-02    4.86e-02    5.7e-04
  60000      1.06e+00    1.06e+00      6.86e-03    5.61e-03      4.54e-02    4.57e-02    5.4e-04
  60100      1.23e+00    1.34e+00      2.27e-02    2.08e-02      5.24e-02    5.73e-02    5.4e-04
  60200      1.09e+00    1.16e+00      3.83e-02    4.37e-02      4.54e-02    4.81e-02    5.4e-04
  60300      1.13e+00    1.49e+00      1.21e-02    1.56e-02      4.83e-02    6.37e-02    5.4e-04
  60400      1.06e+00    1.04e+00      8.91e-03    5.96e-04      4.54e-02    4.48e-02    5.4e-04
  60500      1.08e+00    1.21e+00      6.77e-03    1.27e-02      4.62e-02    5.21e-02    5.4e-04
  60600      1.12e+00    1.11e+00      1.50e-02    1.07e-02      4.81e-02    4.78e-02    5.4e-04
  60700      1.15e+00    1.17e+00      1.47e-02    1.66e-02      4.93e-02    5.00e-02    5.4e-04
  60800      1.07e+00    1.21e+00      7.15e-03    1.70e-02      4.59e-02    5.20e-02    5.4e-04
  60900      1.07e+00    1.00e+00      6.81e-03    1.60e-02      4.58e-02    4.28e-02    5.4e-04
  61000      1.12e+00    1.06e+00      8.01e-03    1.58e-02      4.80e-02    4.52e-02    5.4e-04
  61100      1.07e+00    1.16e+00      2.14e-02    8.97e-03      4.54e-02    5.00e-02    5.4e-04
  61200      1.08e+00    9.82e-01      1.36e-02    2.05e-02      4.60e-02    4.18e-02    5.4e-04
  61300      1.06e+00    1.15e+00      7.25e-03    3.27e-03      4.55e-02    4.96e-02    5.4e-04
  61400      1.11e+00    9.67e-01      8.71e-03    5.71e-03      4.76e-02    4.15e-02    5.4e-04
  61500      1.08e+00    9.55e-01      9.29e-03    4.62e-03      4.64e-02    4.11e-02    5.4e-04
  61600      1.10e+00    1.13e+00      3.05e-02    2.93e-02      4.64e-02    4.79e-02    5.4e-04
  61700      1.06e+00    1.04e+00      1.22e-02    2.40e-02      4.52e-02    4.41e-02    5.4e-04
  61800      1.08e+00    1.11e+00      1.11e-02    1.23e-03      4.64e-02    4.76e-02    5.4e-04
  61900      1.08e+00    1.05e+00      6.74e-03    1.02e-03      4.63e-02    4.50e-02    5.4e-04
  62000      1.12e+00    1.09e+00      1.47e-02    5.03e-03      4.81e-02    4.70e-02    5.4e-04
  62100      1.40e+00    1.25e+00      7.33e-03    6.40e-03      6.00e-02    5.35e-02    5.4e-04
  62200      1.06e+00    9.73e-01      2.50e-02    2.47e-02      4.49e-02    4.12e-02    5.4e-04
  62300      1.06e+00    1.01e+00      8.01e-03    3.43e-04      4.55e-02    4.35e-02    5.4e-04
  62400      1.12e+00    1.16e+00      2.26e-02    1.50e-02      4.76e-02    4.97e-02    5.4e-04
  62500      1.16e+00    1.10e+00      2.48e-02    2.73e-02      4.92e-02    4.65e-02    5.4e-04
  62600      1.07e+00    9.96e-01      2.21e-02    9.85e-03      4.54e-02    4.27e-02    5.4e-04
  62700      1.11e+00    1.09e+00      8.45e-03    3.88e-03      4.75e-02    4.68e-02    5.4e-04
  62800      1.09e+00    1.17e+00      1.66e-02    2.32e-03      4.65e-02    5.02e-02    5.4e-04
  62900      1.08e+00    8.76e-01      6.77e-03    1.12e-03      4.65e-02    3.77e-02    5.4e-04
  63000      1.34e+00    1.33e+00      7.73e-03    1.58e-03      5.76e-02    5.73e-02    5.4e-04
  63100      1.12e+00    1.07e+00      2.73e-02    2.38e-02      4.75e-02    4.55e-02    5.4e-04
  63200      1.07e+00    9.93e-01      1.11e-02    8.66e-03      4.57e-02    4.26e-02    5.4e-04
  63300      1.07e+00    9.75e-01      1.30e-02    4.09e-03      4.58e-02    4.19e-02    5.4e-04
  63400      1.16e+00    1.08e+00      1.38e-02    1.31e-02      4.98e-02    4.65e-02    5.4e-04
  63500      1.08e+00    1.03e+00      1.32e-02    8.86e-03      4.61e-02    4.41e-02    5.4e-04
  63600      1.11e+00    1.05e+00      3.55e-02    3.83e-02      4.66e-02    4.37e-02    5.4e-04
  63700      1.07e+00    1.08e+00      6.84e-03    7.74e-03      4.58e-02    4.63e-02    5.4e-04
  63800      1.20e+00    1.11e+00      1.74e-02    1.18e-03      5.13e-02    4.78e-02    5.4e-04
  63900      1.04e+00    1.01e+00      6.85e-03    1.66e-03      4.48e-02    4.36e-02    5.4e-04
  64000      1.24e+00    1.23e+00      6.74e-03    4.73e-03      5.33e-02    5.28e-02    5.4e-04
  64100      1.11e+00    1.03e+00      1.17e-02    8.92e-03      4.77e-02    4.44e-02    5.4e-04
  64200      1.21e+00    1.16e+00      7.07e-03    3.60e-03      5.21e-02    5.00e-02    5.4e-04
  64300      1.37e+00    1.35e+00      1.25e-02    1.24e-02      5.87e-02    5.78e-02    5.4e-04
  64400      1.06e+00    1.06e+00      1.34e-02    3.00e-02      4.53e-02    4.47e-02    5.4e-04
  64500      1.09e+00    1.05e+00      8.63e-03    3.55e-03      4.68e-02    4.52e-02    5.4e-04
  64600      1.08e+00    9.38e-01      1.56e-02    1.33e-03      4.62e-02    4.03e-02    5.4e-04
  64700      1.39e+00    1.42e+00      5.30e-02    4.57e-02      5.77e-02    5.95e-02    5.4e-04
  64800      1.09e+00    9.51e-01      7.61e-03    1.63e-02      4.68e-02    4.06e-02    5.4e-04
  64900      1.20e+00    1.19e+00      3.25e-02    2.77e-02      5.05e-02    5.05e-02    5.4e-04
  65000      1.02e+00    1.10e+00      6.78e-03    7.22e-03      4.49e-02    4.85e-02    5.1e-04
  65100      1.02e+00    9.56e-01      1.87e-02    2.43e-02      4.45e-02    4.15e-02    5.1e-04
  65200      1.08e+00    1.01e+00      1.48e-02    1.77e-02      4.75e-02    4.44e-02    5.1e-04
  65300      1.10e+00    1.16e+00      3.11e-02    3.49e-02      4.75e-02    5.01e-02    5.1e-04
  65400      1.02e+00    1.04e+00      1.72e-02    2.36e-02      4.44e-02    4.53e-02    5.1e-04
  65500      1.03e+00    9.70e-01      1.80e-02    1.00e-02      4.50e-02    4.27e-02    5.1e-04
  65600      1.07e+00    1.09e+00      1.23e-02    1.73e-02      4.68e-02    4.78e-02    5.1e-04
  65700      1.05e+00    9.96e-01      7.86e-03    9.88e-04      4.60e-02    4.39e-02    5.1e-04
  65800      1.02e+00    9.71e-01      7.36e-03    6.54e-04      4.47e-02    4.28e-02    5.1e-04
  65900      1.04e+00    8.91e-01      1.19e-02    7.44e-03      4.55e-02    3.92e-02    5.1e-04
  66000      1.04e+00    9.95e-01      3.25e-02    1.71e-02      4.46e-02    4.36e-02    5.1e-04
  66100      1.08e+00    1.07e+00      1.56e-02    8.05e-03      4.71e-02    4.71e-02    5.1e-04
  66200      1.20e+00    1.15e+00      9.53e-03    9.54e-03      5.28e-02    5.07e-02    5.1e-04
  66300      1.02e+00    1.08e+00      1.32e-02    1.28e-02      4.45e-02    4.76e-02    5.1e-04
  66400      1.06e+00    1.14e+00      1.33e-02    7.55e-03      4.64e-02    5.01e-02    5.1e-04
  66500      1.04e+00    9.52e-01      6.87e-03    1.23e-02      4.60e-02    4.18e-02    5.1e-04
  66600      1.24e+00    1.18e+00      1.92e-02    1.67e-02      5.44e-02    5.16e-02    5.1e-04
  66700      1.06e+00    1.02e+00      6.84e-03    3.70e-03      4.67e-02    4.49e-02    5.1e-04
  66800      1.18e+00    1.15e+00      1.46e-02    4.06e-03      5.16e-02    5.08e-02    5.1e-04
  66900      1.16e+00    1.11e+00      9.68e-03    5.85e-05      5.09e-02    4.91e-02    5.1e-04
  67000      1.21e+00    1.14e+00      3.98e-02    3.51e-02      5.17e-02    4.90e-02    5.1e-04
  67100      1.00e+00    8.95e-01      1.35e-02    4.85e-03      4.40e-02    3.95e-02    5.1e-04
  67200      1.02e+00    9.23e-01      7.54e-03    2.10e-03      4.50e-02    4.07e-02    5.1e-04
  67300      1.23e+00    1.19e+00      6.65e-03    1.55e-03      5.42e-02    5.23e-02    5.1e-04
  67400      1.05e+00    1.07e+00      6.85e-03    2.59e-03      4.64e-02    4.70e-02    5.1e-04
  67500      1.06e+00    1.07e+00      2.63e-02    3.55e-03      4.61e-02    4.72e-02    5.1e-04
  67600      1.09e+00    1.09e+00      7.17e-03    1.42e-02      4.79e-02    4.79e-02    5.1e-04
  67700      1.02e+00    9.85e-01      7.28e-03    3.46e-03      4.51e-02    4.34e-02    5.1e-04
  67800      1.04e+00    9.19e-01      1.33e-02    2.23e-02      4.55e-02    4.00e-02    5.1e-04
  67900      1.02e+00    9.12e-01      8.67e-03    1.09e-02      4.47e-02    4.01e-02    5.1e-04
  68000      1.09e+00    1.07e+00      7.79e-03    1.10e-02      4.81e-02    4.69e-02    5.1e-04
  68100      1.12e+00    1.18e+00      1.21e-02    2.79e-02      4.92e-02    5.14e-02    5.1e-04
  68200      1.06e+00    9.95e-01      1.52e-02    1.01e-02      4.64e-02    4.38e-02    5.1e-04
  68300      1.02e+00    1.08e+00      1.62e-02    6.60e-03      4.44e-02    4.76e-02    5.1e-04
  68400      1.03e+00    9.97e-01      7.08e-03    4.12e-03      4.54e-02    4.40e-02    5.1e-04
  68500      1.06e+00    1.15e+00      6.97e-03    1.54e-02      4.68e-02    5.03e-02    5.1e-04
  68600      1.02e+00    9.18e-01      7.02e-03    9.31e-03      4.48e-02    4.04e-02    5.1e-04
  68700      1.03e+00    9.28e-01      1.50e-02    1.05e-02      4.52e-02    4.08e-02    5.1e-04
  68800      1.04e+00    1.01e+00      7.98e-03    1.58e-02      4.57e-02    4.41e-02    5.1e-04
  68900      1.05e+00    9.85e-01      6.91e-03    1.28e-02      4.64e-02    4.33e-02    5.1e-04
  69000      1.06e+00    9.59e-01      4.10e-02    3.44e-02      4.48e-02    4.10e-02    5.1e-04
  69100      1.05e+00    1.13e+00      1.02e-02    9.57e-03      4.60e-02    4.97e-02    5.1e-04
  69200      1.19e+00    1.35e+00      6.76e-03    4.85e-03      5.23e-02    5.97e-02    5.1e-04
  69300      1.18e+00    1.14e+00      2.06e-02    1.47e-02      5.15e-02    4.99e-02    5.1e-04
  69400      1.02e+00    1.14e+00      6.59e-03    6.39e-03      4.47e-02    5.03e-02    5.1e-04
  69500      1.11e+00    1.21e+00      6.79e-03    2.09e-03      4.88e-02    5.36e-02    5.1e-04
  69600      1.02e+00    9.02e-01      1.45e-02    1.27e-02      4.46e-02    3.96e-02    5.1e-04
  69700      1.04e+00    1.02e+00      9.19e-03    2.15e-02      4.55e-02    4.44e-02    5.1e-04
  69800      1.10e+00    1.19e+00      2.59e-02    1.48e-02      4.77e-02    5.24e-02    5.1e-04
  69900      1.02e+00    1.03e+00      1.19e-02    1.66e-02      4.48e-02    4.54e-02    5.1e-04
  70000      1.12e+00    1.10e+00      9.65e-03    1.15e-02      5.06e-02    4.97e-02    4.9e-04
  70100      9.88e-01    9.81e-01      1.23e-02    2.10e-02      4.45e-02    4.39e-02    4.9e-04
  70200      9.84e-01    1.08e+00      1.27e-02    1.23e-02      4.43e-02    4.87e-02    4.9e-04
  70300      1.03e+00    1.14e+00      6.95e-03    1.34e-02      4.67e-02    5.12e-02    4.9e-04
  70400      1.00e+00    9.67e-01      6.75e-03    6.90e-03      4.53e-02    4.37e-02    4.9e-04
  70500      1.06e+00    9.82e-01      9.70e-03    1.44e-02      4.80e-02    4.42e-02    4.9e-04
  70600      1.04e+00    1.02e+00      2.51e-02    2.10e-02      4.62e-02    4.55e-02    4.9e-04
  70700      1.05e+00    1.01e+00      7.85e-03    1.22e-02      4.75e-02    4.56e-02    4.9e-04
  70800      1.03e+00    1.06e+00      3.01e-02    1.70e-02      4.55e-02    4.76e-02    4.9e-04
  70900      1.07e+00    1.03e+00      3.58e-02    3.03e-02      4.68e-02    4.57e-02    4.9e-04
  71000      1.04e+00    9.16e-01      1.24e-02    1.51e-02      4.70e-02    4.12e-02    4.9e-04
  71100      9.88e-01    9.59e-01      6.93e-03    5.42e-03      4.46e-02    4.34e-02    4.9e-04
  71200      1.03e+00    1.03e+00      9.09e-03    7.09e-03      4.64e-02    4.64e-02    4.9e-04
  71300      1.05e+00    9.66e-01      8.19e-03    2.76e-02      4.72e-02    4.28e-02    4.9e-04
  71400      1.01e+00    9.66e-01      1.11e-02    1.70e-02      4.54e-02    4.34e-02    4.9e-04
  71500      1.02e+00    1.01e+00      8.55e-03    1.92e-02      4.60e-02    4.54e-02    4.9e-04
  71600      1.04e+00    1.03e+00      3.48e-02    3.45e-02      4.54e-02    4.52e-02    4.9e-04
  71700      1.02e+00    1.09e+00      6.67e-03    6.68e-05      4.60e-02    4.91e-02    4.9e-04
  71800      1.16e+00    1.10e+00      3.91e-02    2.98e-02      5.08e-02    4.87e-02    4.9e-04
  71900      1.01e+00    1.08e+00      2.43e-02    2.67e-02      4.51e-02    4.82e-02    4.9e-04
  72000      1.00e+00    9.95e-01      8.36e-03    9.62e-03      4.52e-02    4.49e-02    4.9e-04
  72100      1.16e+00    1.05e+00      8.30e-03    5.93e-03      5.23e-02    4.74e-02    4.9e-04
  72200      9.82e-01    1.07e+00      6.70e-03    1.57e-03      4.44e-02    4.82e-02    4.9e-04
  72300      9.99e-01    8.42e-01      9.78e-03    1.57e-03      4.50e-02    3.81e-02    4.9e-04
  72400      1.10e+00    9.30e-01      1.37e-02    1.19e-02      4.95e-02    4.19e-02    4.9e-04
  72500      1.07e+00    1.10e+00      1.61e-02    1.84e-02      4.79e-02    4.95e-02    4.9e-04
  72600      1.05e+00    1.00e+00      1.66e-02    1.35e-02      4.71e-02    4.53e-02    4.9e-04
  72700      1.05e+00    1.19e+00      1.22e-02    1.68e-02      4.72e-02    5.36e-02    4.9e-04
  72800      9.92e-01    1.01e+00      8.72e-03    5.06e-03      4.47e-02    4.56e-02    4.9e-04
  72900      1.07e+00    1.13e+00      1.32e-02    6.01e-04      4.79e-02    5.11e-02    4.9e-04
  73000      1.06e+00    1.13e+00      1.88e-02    7.97e-03      4.76e-02    5.10e-02    4.9e-04
  73100      1.01e+00    1.03e+00      8.26e-03    1.29e-02      4.54e-02    4.65e-02    4.9e-04
  73200      1.00e+00    1.09e+00      1.35e-02    1.18e-02      4.50e-02    4.93e-02    4.9e-04
  73300      9.91e-01    9.00e-01      6.54e-03    6.66e-03      4.47e-02    4.07e-02    4.9e-04
  73400      1.01e+00    9.66e-01      8.09e-03    7.95e-04      4.58e-02    4.37e-02    4.9e-04
  73500      1.09e+00    1.05e+00      3.03e-02    1.73e-02      4.82e-02    4.72e-02    4.9e-04
  73600      1.00e+00    9.57e-01      2.65e-02    2.16e-02      4.44e-02    4.27e-02    4.9e-04
  73700      1.30e+00    1.30e+00      1.84e-02    1.03e-02      5.86e-02    5.87e-02    4.9e-04
  73800      1.29e+00    1.16e+00      4.38e-02    5.30e-02      5.66e-02    4.99e-02    4.9e-04
  73900      1.01e+00    8.62e-01      1.96e-02    9.41e-03      4.54e-02    3.89e-02    4.9e-04
  74000      1.07e+00    9.13e-01      2.06e-02    1.46e-02      4.79e-02    4.11e-02    4.9e-04
  74100      1.04e+00    1.08e+00      3.42e-02    4.05e-02      4.56e-02    4.73e-02    4.9e-04
  74200      1.04e+00    1.19e+00      6.71e-03    4.77e-03      4.69e-02    5.40e-02    4.9e-04
  74300      1.01e+00    8.97e-01      1.85e-02    2.36e-02      4.54e-02    3.99e-02    4.9e-04
  74400      1.09e+00    1.25e+00      1.37e-02    1.37e-02      4.89e-02    5.62e-02    4.9e-04
  74500      1.04e+00    1.19e+00      1.52e-02    1.36e-02      4.66e-02    5.36e-02    4.9e-04
  74600      9.80e-01    1.03e+00      7.71e-03    2.15e-04      4.42e-02    4.65e-02    4.9e-04
  74700      9.93e-01    9.08e-01      2.27e-02    2.19e-02      4.43e-02    4.05e-02    4.9e-04
  74800      1.03e+00    1.13e+00      1.81e-02    1.94e-02      4.60e-02    5.07e-02    4.9e-04
  74900      9.93e-01    9.58e-01      1.67e-02    7.22e-03      4.45e-02    4.33e-02    4.9e-04
  75000      1.36e+00    1.36e+00      3.19e-02    2.89e-02      6.22e-02    6.25e-02    4.6e-04
  75100      9.82e-01    9.22e-01      8.87e-03    1.74e-02      4.54e-02    4.24e-02    4.6e-04
  75200      9.61e-01    8.18e-01      1.17e-02    4.27e-03      4.44e-02    3.79e-02    4.6e-04
  75300      9.50e-01    9.24e-01      1.08e-02    6.42e-03      4.39e-02    4.29e-02    4.6e-04
  75400      9.50e-01    9.39e-01      8.10e-03    1.24e-02      4.40e-02    4.34e-02    4.6e-04
  75500      9.84e-01    9.44e-01      9.46e-03    5.12e-04      4.55e-02    4.38e-02    4.6e-04
  75600      1.12e+00    1.07e+00      1.51e-02    7.21e-03      5.16e-02    4.96e-02    4.6e-04
  75700      9.90e-01    1.04e+00      6.74e-03    2.42e-04      4.59e-02    4.82e-02    4.6e-04
  75800      9.76e-01    1.06e+00      1.42e-02    2.53e-02      4.50e-02    4.87e-02    4.6e-04
  75900      1.00e+00    1.06e+00      2.77e-02    2.04e-02      4.55e-02    4.85e-02    4.6e-04
  76000      9.88e-01    8.93e-01      1.67e-02    1.95e-02      4.54e-02    4.09e-02    4.6e-04
  76100      1.01e+00    1.06e+00      8.06e-03    1.57e-02      4.68e-02    4.91e-02    4.6e-04
  76200      1.06e+00    1.10e+00      1.27e-02    1.58e-02      4.90e-02    5.06e-02    4.6e-04
  76300      1.18e+00    1.04e+00      1.35e-02    1.49e-02      5.44e-02    4.81e-02    4.6e-04
  76400      1.09e+00    9.94e-01      3.19e-02    1.26e-02      4.91e-02    4.60e-02    4.6e-04
  76500      9.66e-01    1.01e+00      7.69e-03    9.20e-04      4.47e-02    4.70e-02    4.6e-04
  76600      9.73e-01    9.39e-01      6.71e-03    6.12e-03      4.51e-02    4.36e-02    4.6e-04
  76700      9.88e-01    1.04e+00      9.22e-03    1.48e-02      4.57e-02    4.82e-02    4.6e-04
  76800      1.12e+00    1.02e+00      3.27e-02    2.78e-02      5.09e-02    4.66e-02    4.6e-04
  76900      9.56e-01    8.63e-01      2.05e-02    2.42e-02      4.38e-02    3.92e-02    4.6e-04
  77000      9.96e-01    9.63e-01      8.75e-03    1.13e-02      4.61e-02    4.45e-02    4.6e-04
  77100      9.54e-01    8.51e-01      6.71e-03    4.09e-03      4.41e-02    3.95e-02    4.6e-04
  77200      9.54e-01    8.47e-01      9.35e-03    1.65e-02      4.41e-02    3.89e-02    4.6e-04
  77300      9.57e-01    8.71e-01      1.93e-02    1.98e-02      4.39e-02    3.99e-02    4.6e-04
  77400      1.03e+00    9.43e-01      5.48e-02    5.60e-02      4.41e-02    3.95e-02    4.6e-04
  77500      9.59e-01    8.88e-01      1.08e-02    1.03e-02      4.43e-02    4.11e-02    4.6e-04
  77600      9.70e-01    9.80e-01      1.90e-02    2.97e-02      4.45e-02    4.44e-02    4.6e-04
  77700      9.86e-01    9.78e-01      1.32e-02    2.00e-02      4.55e-02    4.49e-02    4.6e-04
  77800      9.68e-01    9.34e-01      1.31e-02    2.02e-02      4.46e-02    4.28e-02    4.6e-04
  77900      9.81e-01    1.03e+00      1.46e-02    1.52e-03      4.52e-02    4.79e-02    4.6e-04
  78000      1.05e+00    9.82e-01      9.02e-03    5.09e-03      4.86e-02    4.55e-02    4.6e-04
  78100      9.49e-01    8.81e-01      1.96e-02    5.36e-03      4.35e-02    4.08e-02    4.6e-04
  78200      9.65e-01    8.67e-01      2.43e-02    3.35e-02      4.40e-02    3.87e-02    4.6e-04
  78300      9.76e-01    9.40e-01      2.61e-02    1.50e-02      4.43e-02    4.33e-02    4.6e-04
