#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  10300      2.02e+00    1.64e+00      1.06e-02    1.46e-02      6.72e-02    5.45e-02    9.0e-04
  10400      2.08e+00    2.03e+00      5.72e-02    4.97e-02      6.90e-02    6.72e-02    9.0e-04
  10500      2.92e+00    3.03e+00      1.90e-02    1.49e-02      9.73e-02    1.01e-01    9.0e-04
  10600      2.01e+00    1.75e+00      5.71e-02    5.25e-02      6.66e-02    5.81e-02    9.0e-04
  10700      2.20e+00    2.15e+00      4.31e-02    4.15e-02      7.29e-02    7.13e-02    9.0e-04
  10800      2.36e+00    2.23e+00      2.26e-02    1.76e-02      7.84e-02    7.41e-02    9.0e-04
  10900      2.19e+00    2.14e+00      6.70e-02    4.43e-02      7.25e-02    7.11e-02    9.0e-04
  11000      2.00e+00    1.66e+00      2.88e-02    2.41e-02      6.63e-02    5.52e-02    9.0e-04
  11100      2.20e+00    1.94e+00      1.56e-02    2.44e-02      7.31e-02    6.45e-02    9.0e-04
  11200      2.00e+00    1.77e+00      6.89e-03    7.98e-03      6.65e-02    5.90e-02    9.0e-04
  11300      1.94e+00    1.75e+00      1.51e-02    1.32e-02      6.46e-02    5.82e-02    9.0e-04
  11400      2.81e+00    2.75e+00      1.54e-02    2.89e-02      9.35e-02    9.14e-02    9.0e-04
  11500      3.55e+00    2.99e+00      7.46e-03    1.36e-02      1.18e-01    9.96e-02    9.0e-04
  11600      2.69e+00    2.43e+00      6.09e-02    5.46e-02      8.94e-02    8.07e-02    9.0e-04
  11700      1.99e+00    2.25e+00      2.18e-02    8.46e-02      6.62e-02    7.44e-02    9.0e-04
  11800      2.03e+00    2.25e+00      3.57e-02    3.32e-02      6.76e-02    7.47e-02    9.0e-04
  11900      2.15e+00    1.85e+00      1.17e-02    1.99e-03      7.15e-02    6.17e-02    9.0e-04
  12000      2.44e+00    2.39e+00      2.04e-02    3.04e-02      8.13e-02    7.96e-02    9.0e-04
  12100      2.19e+00    2.05e+00      3.69e-02    3.73e-02      7.29e-02    6.82e-02    9.0e-04
  12200      2.07e+00    1.82e+00      6.98e-02    6.77e-02      6.85e-02    6.01e-02    9.0e-04
  12300      2.10e+00    2.00e+00      1.39e-02    1.04e-02      6.99e-02    6.67e-02    9.0e-04
  12400      2.31e+00    2.37e+00      6.16e-02    6.26e-02      7.66e-02    7.87e-02    9.0e-04
  12500      2.09e+00    1.96e+00      2.03e-02    8.89e-03      6.97e-02    6.51e-02    9.0e-04
  12600      2.74e+00    2.56e+00      2.64e-02    1.94e-02      9.12e-02    8.51e-02    9.0e-04
  12700      2.12e+00    1.93e+00      1.18e-02    1.69e-02      7.05e-02    6.42e-02    9.0e-04
  12800      2.02e+00    1.88e+00      2.72e-02    3.22e-02      6.72e-02    6.25e-02    9.0e-04
  12900      2.08e+00    2.00e+00      2.72e-02    1.92e-02      6.93e-02    6.64e-02    9.0e-04
  13000      1.91e+00    2.06e+00      3.23e-02    4.12e-02      6.35e-02    6.84e-02    9.0e-04
  13100      2.04e+00    2.24e+00      5.03e-02    6.04e-02      6.75e-02    7.44e-02    9.0e-04
  13200      2.09e+00    2.10e+00      1.35e-02    1.40e-02      6.97e-02    7.00e-02    9.0e-04
  13300      2.33e+00    2.22e+00      9.86e-02    9.82e-02      7.66e-02    7.29e-02    9.0e-04
  13400      5.45e+00    5.62e+00      9.61e-02    1.09e-01      1.81e-01    1.87e-01    9.0e-04
  13500      3.93e+00    4.04e+00      1.52e-02    9.66e-03      1.31e-01    1.34e-01    9.0e-04
  13600      3.51e+00    3.09e+00      4.26e-02    4.27e-02      1.17e-01    1.03e-01    9.0e-04
  13700      3.29e+00    3.53e+00      2.51e-02    1.86e-02      1.09e-01    1.17e-01    9.0e-04
  13800      2.98e+00    2.73e+00      1.36e-02    1.08e-02      9.93e-02    9.07e-02    9.0e-04
  13900      3.18e+00    3.38e+00      6.27e-03    5.20e-03      1.06e-01    1.13e-01    9.0e-04
